species,day.night,depth,rest.horizontal,swim.horizontal,rest.down,rest.up,swim.down,swim.up,activity,orientation,up.down,temperature,salinity,dissolved.oxygen..ml.L.
1,n,767,0,0,0,0,1,0,1,1,0,5.887,34.5398,0.2073
1,n,820,0,0,0,0,1,0,1,1,0,5.8839,34.5496,0.1939
1,n,822,0,0,0,0,1,0,1,1,0,5.2228,34.5533,0.4298
1,n,851,0,0,0,0,1,0,1,1,0,5.0168,34.5558,0.55529
1,n,863,0,0,0,0,1,0,1,1,0,5.6711,34.5509,0.2457
1,n,868,0,0,0,0,1,0,1,1,0,5.5429,34.5563,0.2254
1,n,942,0,0,0,0,1,0,1,1,0,4.6355,34.5612,0.7757
0,n,701,0,0,1,0,0,0,0,1,0,5.959,34.552,0.14959
0,n,793,0,0,1,0,0,0,0,1,0,5.8254,34.5515,0.1592
0,n,810,0,0,1,0,0,0,0,1,0,5.9659,34.551,0.1779
0,n,701,0,0,1,0,0,0,0,1,0,5.8323,34.5512,0.18231
0,n,844,0,0,1,0,0,0,0,1,0,5.6823,34.5516,0.1876
0,n,811,0,0,1,0,0,0,0,1,0,5.8527,34.5506,0.1981
0,n,825,0,0,1,0,0,0,0,1,0,5.6125,34.5507,0.2325
0,n,824,0,0,1,0,0,0,0,1,0,5.4732,34.5417,0.3189
0,n,350,0,0,1,0,0,0,0,1,0,10.5914,34.7287,0.3335
0,n,914,0,0,1,0,0,0,0,1,0,5.3117,34.5533,0.3401
1,n,302,0,0,1,0,0,0,0,1,0,10.9585,34.7428,0.4857
1,n,815,0,0,1,0,0,0,0,1,0,5.5966,34.5425,0.2453
1,n,900,0,0,1,0,0,0,0,1,0,5.4285,34.5508,0.3079
1,n,971,0,0,1,0,0,0,0,1,0,5.0109,34.5565,0.5224
1,n,987,0,0,1,0,0,0,0,1,0,4.5329,34.5574,0.6723
1,n,1112,0,0,1,0,0,0,0,1,0,4.5133,34.5582,0.8204
1,n,1124,0,0,1,0,0,0,0,1,0,4.2005,34.569,0.9789
1,n,1221,0,0,1,0,0,0,0,1,0,3.5257,34.5868,1.2324
